paper_references,keywords,max_delta,avg_delta,min_delta,avg_trend,max_trend,min_trend,peso_fonte,class
0,11,31,2.7273,-8,46.2727,100,0,10,relevant
0,9,0,-7.3333,-40,29.0000,93,0,10,relevant
0,2,0,-1.5000,-3,55.5000,93,18,10,relevant
0,7,0,-0.8571,-3,20.7143,93,0,10,relevant
0,9,0,-5.7778,-29,44.7778,100,0,10,relevant
0,9,31,3.1111,-8,35.1111,100,0,10,relevant
0,7,0,-3.1429,-11,44.4286,100,0,10,relevant
0,9,0,-13.1111,-77,51.6667,100,0,10,relevant
0,5,14,0.4000,-18,47.8000,100,0,10,irrelevant
0,13,31,-19.2308,-100,67.2308,100,0,10,relevant
0,2,0,-1.5000,-3,55.5000,93,18,10,relevant
0,4,0,-3.5000,-11,52.7500,100,0,10,relevant
0,5,31,1.6000,-12,68.2000,100,0,10,relevant
0,13,31,1.6154,-9,46.8462,100,0,10,relevant
0,11,0,-4.1818,-15,41.1818,100,0,10,relevant
0,9,21,0.4444,-9,49.0000,100,0,10,relevant
0,7,0,-2.8571,-9,41.8571,100,0,10,relevant
0,5,0,-2.2000,-8,38.6000,100,0,10,irrelevant
0,9,0,-3.8889,-15,39.2222,100,0,10,relevant
0,12,94,3.9167,-32,41.3333,100,0,10,irrelevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,9,0,-7.3333,-40,29.0000,93,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,7,0,-3.2857,-12,43.2857,100,0,10,relevant
0,11,100,8.7273,-4,8.6364,95,0,10,relevant
0,7,0,-0.8571,-3,20.7143,93,0,10,irrelevant
0,9,6,-0.5556,-8,29.7778,100,0,10,relevant
0,9,0,-7.3333,-40,29.0000,93,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,3,21,8.0000,0,49.3333,80,0,10,relevant
0,5,0,-2.2000,-8,38.6000,100,0,10,relevant
0,4,0,-15.7500,-40,56.7500,93,18,10,relevant
4,9,100,18.8889,-18,32.1111,100,0,10,relevant
111,9,14,1.4444,-1,11.8889,60,0,10,relevant
23,17,0,-16.7059,-84,62.1765,100,0,10,relevant
34,13,100,5.0769,-12,37.6923,100,0,10,relevant
57,16,100,6.1875,-48,30.6875,100,0,10,relevant
38,24,100,-1.7917,-93,39.2083,100,0,10,relevant
23,8,5,-6.5000,-34,84.6250,100,0,10,relevant
27,11,8,-0.0909,-6,33.0000,100,0,10,relevant
30,13,32,3.1538,-4,55.0000,100,0,10,relevant
27,14,12,-10.3571,-93,48.5000,100,0,10,relevant
29,25,100,-3.4800,-93,41.5600,100,0,10,relevant
19,15,8,-3.0667,-18,36.0667,100,0,10,irrelevant
0,6,0,-24.8333,-84,82.5000,100,18,10,irrelevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,6,31,2.8333,-9,84.1667,100,48,10,relevant
0,11,100,7.9091,-10,18.1818,100,0,10,relevant
0,2,-3,-8.0000,-13,99.0000,100,98,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,3,0,-28.6667,-84,61.3333,100,0,10,irrelevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,2,0,-1.5000,-3,55.5000,93,18,10,relevant
0,9,12,-2.1111,-18,56.1111,100,0,10,relevant
0,5,0,-2.4000,-7,55.4000,100,0,10,relevant
0,2,-3,-8.0000,-13,99.0000,100,98,10,irrelevant
0,5,31,0.2000,-31,65.6000,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,5,0,-20.0000,-77,74.0000,100,0,10,relevant
40,13,31,-17.4615,-84,69.3077,100,0,10,relevant
28,6,0,-0.8333,-3,31.6667,100,0,10,relevant
20,8,13,-6.2500,-28,67.5000,100,0,10,relevant
40,6,0,-20.5000,-100,68.5000,100,0,10,relevant
33,14,0,-6.8571,-84,37.1429,100,0,10,relevant
25,6,0,-31.5000,-100,81.8333,100,18,10,relevant
39,11,16,-8.1818,-69,39.3636,100,0,10,relevant
38,8,0,-7.8750,-31,46.5000,100,0,10,relevant
38,11,14,-1.0000,-31,32.1818,100,0,10,relevant
29,15,11,-9.0000,-84,45.5333,100,0,10,relevant
0,6,31,2.8333,-9,84.1667,100,48,10,relevant
0,11,31,0.6364,-31,87.3636,100,48,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
21,6,0,0.0000,0,57.6667,92,0,10,relevant
0,2,0,0.0000,0,54.0000,90,18,10,relevant
